-19.3;-44.0;Bleakmere;POI
-18.6;-43.9;Sad Doldur;POI
-16.1;-44.4;Helethir;POI
-15.2;-45.4;Pel Umarth;POI
-14.6;-44.5;Fennas Guldur;POI
-15.7;-47.1;Lagfaur-hah;POI
-12.8;-46.4;Thangulhad;POI
-15.0;-48.6;Minas Gil;POI
-17.6;-48.2;Mithechad;POI
-16.1;-51.3;The Verdant Shrine;POI
-17.3;-50.5;Krul Lugu;POI
-15.2;-51.2;The Wild Ruin;POI
-12.6;-50.0;Pool Of Tranquility;POI
-11.8;-49.6;The Dead Grove;POI
-12.1;-52.3;The Low Pond;POI
-8.8;-51.2;Gorogrod;POI
-13.6;-55.2;Audaghaim;POI
-13.5;-56.1;The Haunted Inn;POI
-15.4;-56.0;Pack-howler's Hill;POI
-16.9;-54.7;Estolad Mernall;POI
-12.4;-57.6;Gorotham;POI
-13.5;-58.1;Echad Mothelen;POI
-14.9;-57.7;The Dreadweaver's Lair;POI
-16.8;-57.8;Pool Of Creeping Death;POI
-18.8;-57.6;Sad Meryrn;POI
-12.8;-58.7;Burgul-stazg;POI
-14.5;-59.2;Gostannon;POI
-16.0;-59.2;The Wind Stones;POI
-16.0;-60.0;Amon Angened;POI
-16.5;-60.3;Echad Glamodud;POI
-15.2;-61.5;Echad Sirion;POI
-14.3;-61.6;Durburz-stazg;POI
-16.7;-61.8;Fallug;POI
-18.3;-60.9;Ashurz Maufulug;POI
-17.4;-60.1;Maudhul-ulur;POI
-13.6;-58.1;Mustering Horn;Item
-15.1;-61.5;Campfire;Item
-15.8;-60.1;Campfire;Item
-16.8;-54.8;Campfire;Item
-12.4;-50.9;Campfire;Item
-16.1;-44.4;Campfire;Item
-17.5;-48.2;Campfire;Item
-13.6;-58.1;Camp site fire;Item
-12.6;-46.5;Camp site fire;Item
-16.2;-44.5;Camp site fire;Item
-15.8;-60.1;Relic-master;Item-master
-13.3;-56.0;Relic-master;Item-master
-16.7;-54.7;Relic-master;Item-master
-12.7;-46.5;Relic-master;Item-master
-15.8;-60.1;Forge-master;Item-master
-13.3;-56.0;Forge-master;Item-master
-16.7;-54.7;Forge-master;Item-master
-12.7;-46.5;Forge-master;Item-master
-15.3;-61.5;Mailbox;Item
-13.3;-56.0;Mailbox;Item
-16.8;-54.9;Mailbox;Item
-14.2;-51.5;Mailbox;Item
-14.5;-51.1;Mailbox;Item
